Open Time,Order,Symbol,Type,Volume,,Price,S / L,T / P,Time,,State,Comment,
2018.04.13 06:00:00,151,EURUSD,buy,0.09 / 0.09,, 1.23295,,,2018.04.13 06:00:00,,filled,,
2018.04.13 10:00:00,152,EURUSD,sell,0.01 / 0.01,, 1.23232,,,2018.04.13 10:00:00,,filled,,
2018.04.13 11:00:00,153,EURUSD,buy,0.01 / 0.01,, 1.23408,,,2018.04.13 11:00:00,,filled,,
2018.04.13 14:00:00,154,EURUSD,sell,0.01 / 0.01,, 1.23225,,,2018.04.13 14:00:00,,filled,,
2018.04.13 20:00:00,155,EURUSD,buy,0.01 / 0.01,, 1.23419,,,2018.04.13 20:00:00,,filled,,
2018.04.16 03:00:00,156,EURUSD,buy,0.01 / 0.01,, 1.23317,,,2018.04.16 03:00:00,,filled,,
2018.04.17 13:00:00,157,EURUSD,sell,0.01 / 0.01,, 1.23722,,,2018.04.17 13:00:00,,filled,,
2018.04.18 00:00:00,158,EURUSD,sell,0.09 / 0.09,, 1.23689,,,2018.04.18 00:00:00,,filled,,
2018.04.18 01:00:00,159,EURUSD,buy,0.09 / 0.09,, 1.23743,,,2018.04.18 01:00:00,,filled,,
2018.04.18 10:00:00,160,EURUSD,sell,0.09 / 0.09,, 1.23632,,,2018.04.18 10:00:00,,filled,,
2018.04.18 15:00:00,161,EURUSD,buy,0.09 / 0.09,, 1.23828,,,2018.04.18 15:00:00,,filled,,
2018.04.19 00:00:00,162,EURUSD,sell,0.01 / 0.01,, 1.23726,,,2018.04.19 00:00:00,,filled,,
2018.04.19 01:00:00,163,EURUSD,buy,0.01 / 0.01,, 1.23787,,,2018.04.19 01:00:00,,filled,,
2018.04.19 04:00:00,164,EURUSD,sell,0.01 / 0.01,, 1.23722,,,2018.04.19 04:00:00,,filled,,
2018.04.19 10:00:00,165,EURUSD,buy,0.01 / 0.01,, 1.23807,,,2018.04.19 10:00:00,,filled,,
2018.04.19 12:00:00,166,EURUSD,sell,0.01 / 0.01,, 1.23661,,,2018.04.19 12:00:00,,filled,,
2018.04.19 15:00:00,167,EURUSD,buy,0.01 / 0.01,, 1.23809,,,2018.04.19 15:00:00,,filled,,
2018.04.19 17:00:00,168,EURUSD,sell,0.01 / 0.01,, 1.23697,,,2018.04.19 17:00:00,,filled,,
2018.04.24 13:00:00,169,EURUSD,buy,0.01 / 0.01,, 1.22082,,,2018.04.24 13:00:00,,filled,,
2018.04.24 14:00:00,170,EURUSD,buy,0.09 / 0.09,, 1.22109,,,2018.04.24 14:00:00,,filled,,
2018.04.24 16:00:00,171,EURUSD,sell,0.09 / 0.09,, 1.22066,,,2018.04.24 16:00:00,,filled,,
2018.04.24 17:00:00,172,EURUSD,buy,0.09 / 0.09,, 1.22314,,,2018.04.24 17:00:00,,filled,,
2018.04.25 05:00:00,173,EURUSD,sell,0.09 / 0.09,, 1.22216,,,2018.04.25 05:00:00,,filled,,
2018.04.26 07:00:00,174,EURUSD,buy,0.01 / 0.01,, 1.21777,,,2018.04.26 07:00:00,,filled,,
2018.04.26 11:00:00,175,EURUSD,sell,0.01 / 0.01,, 1.21653,,,2018.04.26 11:00:00,,filled,,
2018.04.26 15:00:00,176,EURUSD,sell,0.01 / 0.01,, 1.21568,,,2018.04.26 15:00:00,,filled,,
2018.04.26 16:00:00,177,EURUSD,buy,0.01 / 0.01,, 1.21998,,,2018.04.26 16:00:00,,filled,,
2018.04.27 18:00:00,178,EURUSD,buy,0.01 / 0.01,, 1.21005,,,2018.04.27 18:00:00,,filled,,
2018.04.30 11:00:00,179,EURUSD,sell,0.01 / 0.01,, 1.21185,,,2018.04.30 11:00:00,,filled,,
2018.05.02 17:00:00,180,EURUSD,sell,0.09 / 0.09,, 1.19737,,,2018.05.02 17:00:00,,filled,,
2018.05.03 05:00:00,181,EURUSD,buy,0.09 / 0.09,, 1.19778,,,2018.05.03 05:00:00,,filled,,
2018.05.03 17:00:00,182,EURUSD,sell,0.09 / 0.09,, 1.19709,,,2018.05.03 17:00:00,,filled,,
2018.05.03 20:00:00,183,EURUSD,buy,0.09 / 0.09,, 1.19881,,,2018.05.03 20:00:00,,filled,,
