Open Time,Order,Symbol,Type,Volume,,Price,S / L,T / P,Time,,State,Comment,
2018.11.02 15:20:40,132,EURUSD,sell,0.10 / 0.10,, 1.14073,, 1.13581,2018.11.02 15:20:40,,filled,,
2018.11.05 09:08:40,133,EURUSD,buy,0.10 / 0.10,, 1.13993,,,2018.11.05 09:08:40,,filled,,
2018.11.05 09:08:59,134,EURUSD,buy,0.10 / 0.10,, 1.13982,, 1.14474,2018.11.05 09:08:59,,filled,,
2018.11.06 06:00:00,135,EURUSD,sell,0.10 / 0.10,, 1.14056,,,2018.11.06 06:00:00,,filled,,
2018.11.06 06:21:20,136,EURUSD,sell,0.10 / 0.10,, 1.13998,, 1.13506,2018.11.06 06:21:20,,filled,,
2018.11.08 10:04:40,137,EURUSD,buy,0.10 / 0.10,, 1.14399,,,2018.11.08 10:04:40,,filled,,
2018.11.08 10:05:40,138,EURUSD,buy,0.10 / 0.10,, 1.14422,, 1.14914,2018.11.08 10:05:40,,filled,,
2018.11.14 07:00:00,139,EURUSD,sell,0.10 / 0.10,, 1.12869,,,2018.11.14 07:00:00,,filled,,
2018.11.15 10:57:40,140,EURUSD,sell,0.10 / 0.10,, 1.13068,, 1.12576,2018.11.15 10:57:40,,filled,,
2018.11.15 12:55:40,141,EURUSD,buy,0.10 / 0.10,, 1.13011,,,2018.11.15 12:55:40,,filled,sl 1.13011,
2018.11.16 12:05:40,142,EURUSD,sell,0.10 / 0.10,, 1.13296,, 1.12804,2018.11.16 12:05:40,,filled,,
2018.11.21 05:00:00,143,EURUSD,buy,0.10 / 0.10,, 1.13740,,,2018.11.21 05:00:00,,filled,,
2018.11.22 17:02:40,144,EURUSD,sell,0.10 / 0.10,, 1.13971,, 1.13479,2018.11.22 17:02:40,,filled,,
2018.11.23 12:55:20,145,EURUSD,buy,0.10 / 0.10,, 1.13479,,,2018.11.23 12:55:20,,filled,tp 1.13479,
2018.11.27 15:21:40,146,EURUSD,buy,0.10 / 0.10,, 1.13335,, 1.13827,2018.11.27 15:21:40,,filled,,
2018.11.28 19:27:40,147,EURUSD,sell,0.10 / 0.10,, 1.13394,,,2018.11.28 19:27:40,,filled,sl 1.13394,
2018.12.04 17:25:40,148,EURUSD,sell,0.10 / 0.10,, 1.13747,, 1.13255,2018.12.04 17:25:40,,filled,,
2018.12.04 19:10:40,149,EURUSD,buy,0.10 / 0.10,, 1.13255,,,2018.12.04 19:10:40,,filled,tp 1.13255,
2018.12.13 14:45:40,150,EURUSD,sell,0.10 / 0.10,, 1.13590,, 1.13098,2018.12.13 14:45:40,,filled,,
2018.12.14 10:42:40,151,EURUSD,buy,0.10 / 0.10,, 1.13098,,,2018.12.14 10:42:40,,filled,tp 1.13098,
2018.12.18 18:13:20,152,EURUSD,sell,0.10 / 0.10,, 1.13566,, 1.13074,2018.12.18 18:13:20,,filled,,
2018.12.24 04:00:00,153,EURUSD,buy,0.10 / 0.10,, 1.13807,,,2018.12.24 04:00:00,,filled,,
2018.12.27 04:14:40,154,EURUSD,buy,0.10 / 0.10,, 1.13801,, 1.14293,2018.12.27 04:14:40,,filled,,
2018.12.27 16:59:40,155,EURUSD,sell,0.10 / 0.10,, 1.14293,,,2018.12.27 16:59:40,,filled,tp 1.14293,
